obj_id,first_name,last_name,date_of_birth,occupation,nationality,phone,email,ni_number
4a7edb39-029f-40a1-8fef-7ddff72537ce,Emma,Reed,1998-08-15,Architect,Eritrea,+44(0)161 4960764,nevans@hotmail.co.uk,ZZ 42 19 48 T
682a5412-07dd-4215-be8d-aee30df50be4,Diana,Barker,1980-01-01,Insurance claims handler,Bolivia,+441632 960 157,nixonguy@hotmail.co.uk,ZZ 387784 T
5d73ead8-5cee-47ce-8692-403fe511e07d,Benjamin,Nelson,1970-12-16,Chief Financial Officer,Saint Helena,+44(0)8081570609,vfinch@yahoo.com,ZZ 513933 T
f61040ff-c30c-4d1c-acb3-5417b2bd95b2,Patrick,Roberts,2000-06-26,"Chemist, analytical",Belgium,+44(0)121 496 0871,lynn41@hotmail.co.uk,ZZ839894T
962f7070-cffb-4b45-8fcb-2af9b88063a3,Louise,Green,1996-03-11,Investment analyst,Montserrat,0118 4960423,ryanosborne@outlook.com,ZZ711220T
7babbe46-c714-44d0-9a52-192bf6e604db,Jonathan,Sutton,1996-08-17,"Scientist, water quality",Falkland Islands (Malvinas),0191 4960339,cjackson@yahoo.co.uk,ZZ 515917 T
905368ca-b852-4bae-837c-8faffb66579f,Kate,Yates,1982-12-15,Financial manager,Andorra,+441632 960413,ronald56@gmail.com,ZZ 23 09 89 T
b514e44e-a965-4b33-9710-aec9e808e515,Gail,Ford,1978-06-21,Energy engineer,Netherlands,+448081570916,middletonconnor@gmail.com,ZZ 032173 T
a549c14e-16a2-4d2c-81f7-d7184c3c0989,Benjamin,Cross,1971-07-21,Sport and exercise psychologist,Jamaica,0289018141,stevenwillis@hotmail.com,ZZ208709T
630f5b0c-fef5-4840-849b-948103c8761e,Oliver,Harrison,1996-08-17,"Engineer, communications",Eritrea,(0117) 496 0444,kevinpearson@yahoo.com,ZZ 58 41 97 T
06429013-865a-4591-b633-c95dd30ba614,Rosie,Coleman,2002-02-04,Outdoor activities/education manager,United Arab Emirates,020 74960845,iain27@yahoo.com,ZZ 071508 T
6fce8d2b-5f6a-49d6-b22e-9b5a0bf62835,Leonard,Macdonald,2002-10-15,Management consultant,New Caledonia,0121 4960599,dylanmccarthy@yahoo.co.uk,ZZ 109352 T
2fb89e70-a6a7-4c7d-9e9c-ce5628eede61,Shane,Wilson,2000-06-30,Multimedia specialist,Russian Federation,+449098790960,kcarr@yahoo.co.uk,ZZ 027142 T
2ef77b75-d896-4434-a00a-2a9dd4dac54c,Katie,Hill,2003-02-28,"Surveyor, mining",Netherlands Antilles,0306 9990007,graeme70@yahoo.co.uk,ZZ 81 20 66 T
